obs,Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Month,Duration,Campaign,Previous,poutcome,Y
1,37,management,married,tertiary,no,2283,no,no,cellular,may,243,2,2,failure,1
2,33,blue-collar,married,secondary,no,1101,yes,no,cellular,apr,399,2,0,unknown,0
3,38,technician,single,secondary,no,227,no,no,cellular,aug,95,4,0,unknown,0
4,29,admin.,single,secondary,no,873,no,no,cellular,mar,41,2,0,unknown,0
5,31,blue-collar,married,secondary,no,1914,yes,no,unknown,may,192,1,0,unknown,0
6,42,blue-collar,married,secondary,no,-1664,yes,no,unknown,may,169,1,0,unknown,0
7,56,management,divorced,tertiary,no,535,yes,no,cellular,jul,67,1,0,unknown,0
8,44,blue-collar,married,secondary,no,261,yes,no,unknown,may,87,5,0,unknown,0
9,35,admin.,married,secondary,no,1286,yes,no,cellular,may,862,3,1,other,1
10,50,housemaid,married,secondary,no,3016,yes,no,telephone,may,65,5,0,unknown,0
11,32,management,divorced,tertiary,no,883,yes,no,cellular,dec,798,1,5,other,1
12,36,technician,married,secondary,no,283,yes,yes,unknown,jun,56,2,0,unknown,0
13,45,blue-collar,married,primary,no,55,no,no,cellular,jul,112,3,0,unknown,0
14,54,blue-collar,married,secondary,no,548,no,no,cellular,aug,520,7,0,unknown,1
15,48,management,single,secondary,no,290,yes,no,cellular,jul,257,2,0,unknown,0
16,60,retired,married,primary,no,170,yes,no,unknown,may,338,2,0,unknown,0
17,47,technician,married,secondary,no,0,no,no,cellular,aug,210,2,0,unknown,0
18,37,housemaid,single,secondary,no,-178,yes,no,unknown,jun,122,5,0,unknown,0
19,50,housemaid,married,secondary,no,195,no,no,cellular,aug,168,2,0,unknown,0
20,45,services,married,unknown,no,8319,no,no,cellular,jun,75,2,0,unknown,0
21,45,admin.,married,secondary,no,-173,yes,no,unknown,may,315,2,0,unknown,0
22,38,blue-collar,married,primary,no,714,yes,no,unknown,may,225,3,0,unknown,0
23,56,blue-collar,married,unknown,no,982,yes,yes,cellular,may,135,2,0,unknown,0
24,55,blue-collar,divorced,unknown,no,1545,yes,no,cellular,may,59,1,2,failure,0
25,47,housemaid,married,secondary,no,3940,yes,no,cellular,nov,171,2,5,success,0
26,26,management,single,tertiary,no,761,no,no,cellular,feb,362,1,0,unknown,0
27,38,services,married,secondary,no,4392,no,no,cellular,jul,32,2,0,unknown,0
28,43,technician,single,tertiary,no,4243,yes,no,unknown,may,30,10,0,unknown,0
29,31,management,single,tertiary,no,630,no,no,cellular,may,95,2,2,failure,0
30,34,unknown,married,unknown,no,4535,no,no,cellular,aug,54,3,0,unknown,0
31,32,admin.,single,secondary,no,375,yes,no,cellular,nov,143,3,0,unknown,0
32,66,blue-collar,married,primary,no,2552,no,no,telephone,apr,186,4,0,unknown,0
33,44,management,married,tertiary,no,756,yes,no,cellular,jul,122,2,0,unknown,0
34,55,services,married,secondary,no,0,no,no,cellular,oct,102,1,1,failure,0
35,57,management,married,tertiary,no,2440,yes,no,unknown,may,391,2,0,unknown,0
36,29,services,single,unknown,no,196,no,no,cellular,jan,726,2,0,unknown,1
37,32,management,single,tertiary,no,2983,yes,no,cellular,oct,268,1,1,failure,0
38,50,technician,single,secondary,no,330,no,no,cellular,aug,376,3,0,unknown,0
39,55,management,married,tertiary,no,42,yes,no,telephone,may,386,2,0,unknown,0
40,35,housemaid,married,primary,no,0,yes,no,cellular,jul,340,3,0,unknown,0
41,28,admin.,single,secondary,no,352,yes,yes,cellular,may,431,1,0,unknown,1
42,34,blue-collar,single,secondary,no,-603,no,no,cellular,jul,164,4,0,unknown,0
43,47,management,married,tertiary,no,393,yes,yes,cellular,jul,419,2,0,unknown,0
44,32,technician,married,unknown,no,712,no,no,cellular,may,112,1,0,unknown,0
45,57,technician,divorced,secondary,no,77,yes,yes,cellular,jan,168,3,2,failure,0
46,31,technician,married,secondary,no,183,no,no,cellular,apr,495,1,0,unknown,1
47,42,services,married,tertiary,no,412,yes,no,telephone,nov,142,4,5,failure,0
48,36,technician,single,secondary,no,-272,no,yes,cellular,jul,53,6,0,unknown,0
49,33,entrepreneur,divorced,primary,no,596,no,yes,cellular,feb,308,1,1,other,0
50,48,blue-collar,married,primary,no,231,yes,no,unknown,may,752,3,0,unknown,0
51,35,services,married,secondary,no,240,yes,yes,cellular,may,161,2,0,unknown,0
52,41,management,married,tertiary,no,527,no,no,cellular,aug,96,1,0,unknown,0
53,54,blue-collar,married,secondary,no,524,yes,no,unknown,may,55,1,0,unknown,0
54,58,technician,divorced,secondary,no,797,yes,no,unknown,jun,134,2,0,unknown,0
55,49,blue-collar,married,primary,no,1387,yes,yes,unknown,may,161,2,0,unknown,0
56,35,blue-collar,married,primary,no,793,yes,no,cellular,apr,106,1,0,unknown,0
57,39,services,married,secondary,no,-404,yes,no,cellular,may,344,1,0,unknown,0
58,32,technician,single,secondary,no,674,yes,yes,cellular,apr,169,1,3,failure,0
59,19,student,single,secondary,no,1803,no,no,cellular,jun,124,1,1,failure,0
60,40,blue-collar,divorced,secondary,no,-90,yes,no,unknown,may,130,1,0,unknown,0
61,57,management,married,primary,no,0,no,no,unknown,may,455,1,0,unknown,0
62,29,unemployed,single,tertiary,no,0,yes,no,cellular,feb,102,3,3,other,0
63,34,admin.,single,secondary,no,79,yes,no,cellular,jul,219,3,0,unknown,0
64,28,technician,single,secondary,no,100,yes,no,cellular,may,70,5,0,unknown,0
65,43,management,single,tertiary,no,359,yes,no,telephone,may,899,3,0,unknown,0
66,34,entrepreneur,married,secondary,yes,-868,yes,no,unknown,jun,198,2,0,unknown,0
67,40,management,married,tertiary,no,12212,no,no,cellular,nov,100,3,0,unknown,0
68,32,blue-collar,married,secondary,no,9714,yes,no,cellular,may,1237,2,2,failure,0
69,48,management,married,tertiary,yes,0,no,yes,cellular,feb,18,8,0,unknown,0
70,31,technician,married,secondary,no,465,yes,no,cellular,may,259,3,0,unknown,0
71,40,management,married,tertiary,no,6008,yes,no,cellular,nov,989,1,0,unknown,0
72,35,management,married,tertiary,no,972,yes,yes,cellular,jul,23,16,0,unknown,0
73,43,management,married,tertiary,no,0,no,no,cellular,aug,127,3,0,unknown,0
74,34,blue-collar,married,secondary,no,1257,yes,no,unknown,may,109,7,0,unknown,0
75,25,admin.,single,tertiary,no,1734,no,no,cellular,oct,366,1,0,unknown,0
76,55,self-employed,married,secondary,no,4493,no,no,cellular,aug,272,1,0,unknown,0
77,29,services,single,secondary,no,-287,yes,no,cellular,may,196,1,0,unknown,0
78,34,blue-collar,married,secondary,no,640,yes,no,cellular,apr,636,2,0,unknown,1
79,33,admin.,single,secondary,no,-281,yes,yes,cellular,nov,282,1,0,unknown,0
80,33,management,single,tertiary,no,641,yes,no,cellular,feb,147,1,7,other,0
81,41,services,married,secondary,no,7509,no,no,unknown,jun,575,1,0,unknown,0
82,43,services,divorced,secondary,no,7816,yes,no,telephone,may,16,3,0,unknown,0
83,46,blue-collar,married,secondary,no,182,no,no,cellular,feb,56,1,0,unknown,0
84,29,services,single,secondary,no,2,no,no,unknown,may,190,1,0,unknown,0
85,36,management,married,tertiary,no,0,yes,no,telephone,oct,140,1,3,failure,1
86,60,technician,married,secondary,no,1740,no,no,cellular,jun,814,1,2,success,0
87,40,entrepreneur,married,tertiary,no,1729,yes,no,cellular,may,85,1,0,unknown,0
88,57,retired,divorced,tertiary,no,241,no,yes,cellular,aug,146,1,0,unknown,0
89,35,admin.,single,secondary,no,57,no,yes,cellular,jul,632,2,0,unknown,0
90,55,blue-collar,married,secondary,no,831,yes,no,unknown,may,144,1,0,unknown,0
91,42,admin.,married,secondary,no,645,yes,yes,cellular,jul,42,2,0,unknown,0
92,32,technician,married,tertiary,no,593,no,no,cellular,dec,140,2,2,other,0
93,40,blue-collar,divorced,secondary,no,793,yes,no,unknown,may,109,1,0,unknown,0
94,30,management,single,tertiary,no,5,no,no,unknown,may,476,3,0,unknown,0
95,43,management,married,tertiary,no,715,no,no,cellular,aug,88,4,0,unknown,0
96,45,blue-collar,married,primary,no,0,yes,no,telephone,jul,32,1,0,unknown,0
97,38,self-employed,single,secondary,yes,0,no,no,unknown,jun,68,3,0,unknown,0
98,33,unemployed,single,tertiary,no,3805,yes,no,cellular,feb,72,1,0,unknown,0
99,56,management,married,tertiary,no,25290,no,no,cellular,jul,81,12,0,unknown,0
100,50,entrepreneur,married,tertiary,no,2198,no,no,unknown,jun,170,6,0,unknown,0
101,54,management,married,tertiary,no,0,no,no,cellular,aug,748,3,0,unknown,0
102,41,management,married,tertiary,no,-370,yes,no,cellular,may,233,2,0,unknown,0
103,69,retired,married,primary,no,324,no,no,cellular,aug,875,1,4,success,0
104,36,management,married,tertiary,no,1014,yes,no,unknown,jun,34,2,0,unknown,0
105,39,management,married,secondary,no,0,yes,no,cellular,aug,63,3,0,unknown,0
106,39,technician,married,secondary,no,116,no,no,cellular,aug,79,2,2,success,0
107,29,management,single,tertiary,no,697,no,no,cellular,feb,206,1,0,unknown,1
108,31,housemaid,single,primary,no,26965,no,no,cellular,apr,654,2,0,unknown,1
109,55,blue-collar,married,primary,no,1086,yes,no,cellular,aug,148,2,0,unknown,0
110,28,technician,single,secondary,no,1589,yes,no,cellular,may,359,5,0,unknown,0
111,27,management,single,tertiary,no,377,no,no,cellular,aug,171,3,1,failure,0
112,47,technician,married,secondary,no,321,yes,yes,unknown,jul,111,1,0,unknown,0
113,31,management,single,tertiary,no,533,no,no,cellular,nov,90,3,6,success,1
114,36,admin.,married,secondary,no,1954,yes,yes,unknown,may,199,3,0,unknown,0
115,57,retired,single,primary,no,604,no,no,cellular,nov,187,1,0,unknown,0
116,49,technician,married,secondary,no,3635,yes,no,cellular,aug,171,2,0,unknown,0
117,34,blue-collar,married,primary,no,425,yes,no,cellular,jul,1389,7,0,unknown,0
118,59,technician,divorced,secondary,no,330,no,no,cellular,aug,27,5,0,unknown,0
119,34,management,married,tertiary,no,6808,yes,no,cellular,nov,8,3,0,unknown,0
120,42,services,married,secondary,no,3465,yes,yes,cellular,jul,1039,2,0,unknown,1
121,45,admin.,married,secondary,no,25,yes,no,unknown,may,82,4,0,unknown,0
122,41,blue-collar,married,primary,no,200,no,yes,cellular,jul,309,2,0,unknown,0
123,32,services,married,secondary,no,183,yes,no,cellular,feb,17,10,0,unknown,0
124,29,management,single,tertiary,no,3041,yes,no,cellular,may,606,3,0,unknown,1
125,60,retired,married,secondary,no,2586,no,no,unknown,jun,150,4,0,unknown,0
126,62,unknown,married,secondary,no,367,no,no,telephone,sep,221,1,5,failure,0
127,55,management,divorced,tertiary,no,5399,no,yes,cellular,apr,124,1,3,failure,0
128,24,admin.,single,secondary,no,99,no,no,cellular,feb,56,3,0,unknown,0
129,60,technician,divorced,tertiary,no,-361,no,yes,cellular,jul,76,6,0,unknown,0
130,39,unemployed,married,secondary,no,1309,yes,no,cellular,feb,587,2,0,unknown,0
131,49,admin.,divorced,primary,no,-347,yes,no,unknown,may,200,2,0,unknown,0
132,36,technician,single,secondary,no,376,no,no,cellular,nov,193,1,1,success,1
133,57,admin.,divorced,secondary,no,-140,yes,no,unknown,may,264,2,0,unknown,0
134,47,blue-collar,single,secondary,no,15,yes,no,unknown,may,62,2,0,unknown,0
135,56,blue-collar,single,secondary,no,663,no,yes,cellular,jul,819,3,0,unknown,1
136,51,management,single,unknown,no,-461,yes,no,unknown,may,33,2,0,unknown,0
137,34,technician,single,secondary,no,1183,yes,no,unknown,may,438,2,0,unknown,0
138,32,blue-collar,married,secondary,no,-428,yes,no,unknown,may,518,1,0,unknown,0
139,59,entrepreneur,married,primary,no,124,yes,no,cellular,nov,531,3,7,failure,0
140,42,blue-collar,married,secondary,no,250,yes,no,cellular,apr,42,3,0,unknown,0
141,34,blue-collar,married,secondary,no,496,yes,no,cellular,may,333,1,0,unknown,1
142,36,retired,single,tertiary,no,1514,yes,no,cellular,may,387,3,0,unknown,0
143,75,retired,divorced,primary,no,37127,no,no,cellular,feb,505,1,0,unknown,0
144,52,services,divorced,secondary,no,2455,no,no,telephone,nov,76,1,1,failure,0
145,30,services,single,secondary,no,114,no,yes,cellular,jul,110,10,0,unknown,0
146,45,housemaid,married,primary,no,3,yes,yes,unknown,jun,128,1,0,unknown,0
147,52,technician,married,unknown,no,9687,yes,no,unknown,may,936,1,0,unknown,0
148,42,technician,married,secondary,no,994,yes,no,cellular,nov,227,3,6,success,1
149,28,technician,single,tertiary,no,386,no,no,cellular,may,867,1,0,unknown,1
150,38,management,married,tertiary,no,1444,yes,no,cellular,jul,139,2,0,unknown,0
151,39,unknown,married,primary,no,2860,no,no,unknown,jun,133,1,0,unknown,0
152,44,technician,single,secondary,no,7138,no,no,cellular,aug,809,2,0,unknown,1
153,53,blue-collar,married,secondary,no,-108,yes,no,cellular,may,11,12,3,other,0
154,48,management,divorced,secondary,no,635,no,no,unknown,jun,236,2,0,unknown,0
155,53,management,married,tertiary,no,1759,no,no,cellular,feb,220,3,0,unknown,0
156,44,blue-collar,single,secondary,no,34,yes,no,unknown,may,404,4,0,unknown,0
157,32,management,single,secondary,no,249,yes,no,unknown,jun,258,1,0,unknown,0
